"ano";"raça";"Fem";"Mas";"total";"total_ano";"fem_ano";"mas_ano"
"2014";"PARDA";61726;86536;148262;524805;233384;291421
"2014";"PRETA";11110;12035;23145;524805;233384;291421
"2015";"AMARELA";7051;8405;15456;543231;241120;302111
"2015";"BRANCA";142657;166663;309320;543231;241120;302111
"2015";"INDIGENA";533;1063;1596;543231;241120;302111
"2015";"NAO INFORMADO";14368;20787;35155;543231;241120;302111
"2015";"PARDA";64850;92385;157235;543231;241120;302111
"2015";"PRETA";11661;12808;24469;543231;241120;302111
"2016";"AMARELA";6864;8203;15067;543191;241251;301940
"2016";"BRANCA";142547;166458;309005;543191;241251;301940
"2016";"INDIGENA";528;1035;1563;543191;241251;301940
"2016";"NAO INFORMADO";14065;20056;34121;543191;241251;301940
"2016";"PARDA";65308;92955;158263;543191;241251;301940
"2016";"PRETA";11939;13233;25172;543191;241251;301940
"2017";"AMARELA";6706;8096;14802;543665;241297;302368
"2017";"BRANCA";141745;166068;307813;543665;241297;302368
"2017";"INDIGENA";523;1017;1540;543665;241297;302368
"2017";"NAO INFORMADO";14050;19674;33724;543665;241297;302368
"2017";"PARDA";66027;93791;159818;543665;241297;302368
"2017";"PRETA";12246;13722;25968;543665;241297;302368
"2018";"AMARELA";6333;7769;14102;537337;238065;299272
"2018";"BRANCA";138827;163765;302592;537337;238065;299272
"2018";"INDIGENA";506;993;1499;537337;238065;299272
"2018";"NAO INFORMADO";13603;18932;32535;537337;238065;299272
"2018";"PARDA";66264;93762;160026;537337;238065;299272
"2018";"PRETA";12532;14051;26583;537337;238065;299272
"2019";"AMARELA";5955;7382;13337;525289;232731;292558
"2019";"BRANCA";135169;160000;295169;525289;232731;292558
"2019";"INDIGENA";477;944;1421;525289;232731;292558
"2019";"NAO INFORMADO";12985;17990;30975;525289;232731;292558
"2019";"PARDA";65574;92192;157766;525289;232731;292558
"2019";"PRETA";12571;14050;26621;525289;232731;292558
"2020";"AMARELA";5258;6740;11998;499306;219861;279445
"2020";"BRANCA";128464;154111;282575;499306;219861;279445
"2020";"INDIGENA";416;882;1298;499306;219861;279445
"2020";"NAO INFORMADO";11872;16372;28244;499306;219861;279445
"2020";"PARDA";61637;87518;149155;499306;219861;279445
"2020";"PRETA";12214;13822;26036;499306;219861;279445
